game_num,away_team,home_team,away_score,home_score
800,PHI,NYC,2,1
801,PIT,BOS,2,4
802,BKN,CLE,5,3
803,WAS,DET,4,0
804,SDT,SFN,0,7
805,LAP,KCM,1,8
806,CHR,OAK,6,2
807,HOU,OKC,4,3
808,PHI,NYC,3,4
809,PIT,BOS,1,5
810,BKN,CLE,0,2
811,WAS,DET,1,3
812,SDT,SFN,6,3
813,LAP,KCM,5,1
814,CHR,OAK,0,9
815,HOU,OKC,3,1
816,CLE,PIT,1,2
817,BKN,BOS,1,5
818,NYC,DET,2,0
819,OKC,CHR,0,7
820,KCM,SDT,4,3
821,LAP,SFN,4,5
822,CLE,PIT,3,2
823,BKN,BOS,4,5
824,NYC,DET,1,5
825,WAS,PHI,4,3
826,OKC,CHR,3,1
827,OAK,HOU,1,2
828,KCM,SDT,5,2
829,LAP,SFN,1,9
830,CLE,PIT,0,3
831,BKN,BOS,3,4
832,NYC,DET,1,2
833,WAS,PHI,1,7
834,OKC,CHR,1,3
835,OAK,HOU,3,1
836,KCM,SDT,4,5
837,LAP,SFN,0,2
838,CLE,PIT,1,4
839,BKN,BOS,5,4
840,NYC,DET,7,1
841,WAS,PHI,3,5
842,OKC,CHR,7,2
843,OAK,HOU,0,2
844,KCM,SDT,0,3
845,LAP,SFN,1,7
846,WAS,BKN,3,1
847,BOS,PHI,1,3
848,CHR,LAP,2,5
849,OKC,SFN,0,5
850,KCM,OAK,6,2
851,NYC,PIT,1,3
852,WAS,BKN,2,5
853,DET,CLE,7,4
854,BOS,PHI,2,5
855,HOU,SDT,2,3
856,CHR,LAP,2,1
857,OKC,SFN,6,1
858,KCM,OAK,4,2
859,NYC,PIT,1,4
860,WAS,BKN,4,2
861,DET,CLE,2,1
862,BOS,PHI,2,3
863,HOU,SDT,0,2
864,CHR,LAP,2,1
865,OKC,SFN,2,3
866,KCM,OAK,5,2
867,NYC,PIT,3,5
868,DET,CLE,6,2
869,HOU,SDT,0,4
870,KCM,OAK,0,3
871,KCM,WAS,0,2
872,SFN,NYC,5,2
873,OKC,PIT,2,4
874,OAK,BKN,3,5
875,HOU,BOS,1,3
876,CHR,CLE,5,1
877,LAP,DET,4,0
878,SDT,PHI,0,8
879,KCM,WAS,5,1
880,SFN,NYC,3,4
881,OKC,PIT,2,1
882,OAK,BKN,1,2
883,HOU,BOS,2,1
884,CHR,CLE,13,3
885,LAP,DET,6,4
886,SDT,PHI,1,4
887,KCM,WAS,5,1
888,SFN,NYC,7,1
889,OKC,PIT,3,1
890,OAK,BKN,0,4
891,HOU,BOS,2,1
892,CHR,CLE,3,4
893,LAP,DET,1,4
894,SDT,PHI,3,11
895,CLE,HOU,1,2
896,PHI,LAP,1,3
897,WAS,SFN,5,3
898,PIT,OAK,2,1
899,BKN,OKC,2,1
900,BOS,CHR,4,2
901,CLE,HOU,2,4
902,DET,SDT,5,1
903,PHI,LAP,3,1
904,WAS,SFN,0,3
905,NYC,KCM,1,2
906,PIT,OAK,4,1
907,BKN,OKC,2,3
908,BOS,CHR,1,5
909,CLE,HOU,4,2
910,DET,SDT,1,5
911,PHI,LAP,5,3
912,WAS,SFN,1,2
913,NYC,KCM,4,1
914,PIT,OAK,1,0
915,BKN,OKC,7,1
916,BOS,CHR,3,11
917,DET,SDT,2,5
918,NYC,KCM,0,5
919,PHI,CHR,2,3
920,DET,HOU,5,2
921,NYC,SDT,5,4
922,WAS,LAP,1,5
923,BKN,SFN,1,3
924,PIT,KCM,2,5
925,CLE,OAK,0,2
926,BOS,OKC,0,2
927,PHI,CHR,0,7
928,DET,HOU,2,3
929,NYC,SDT,3,1
930,WAS,LAP,1,2
931,BKN,SFN,0,4
932,PIT,KCM,2,5
933,CLE,OAK,5,2
934,BOS,OKC,7,0
935,PHI,CHR,3,1
936,DET,HOU,3,6
937,NYC,SDT,2,4
938,WAS,LAP,8,2
939,BKN,SFN,1,7
940,PIT,KCM,0,6
941,CLE,OAK,2,4
942,BOS,OKC,1,3
943,BOS,NYC,2,3
944,PHI,PIT,1,5
945,DET,BKN,0,7
946,KCM,CHR,0,1
947,SFN,HOU,1,5
948,CLE,WAS,0,4
949,BOS,NYC,2,1
950,PHI,PIT,0,2
951,DET,BKN,3,1
952,KCM,CHR,1,6
953,SFN,HOU,2,1
954,OAK,LAP,4,5
955,SDT,OKC,4,1
956,CLE,WAS,0,1
957,BOS,NYC,2,5
958,PHI,PIT,6,5
959,DET,BKN,4,1
960,KCM,CHR,3,5
961,SFN,HOU,0,3
962,OAK,LAP,1,5
963,SDT,OKC,4,2
964,CLE,WAS,5,1
965,PHI,BKN,2,3
966,PIT,DET,7,0
967,OAK,LAP,4,3
968,CHR,SFN,3,4
969,SDT,OKC,6,3
970,BOS,WAS,0,5
971,PHI,BKN,0,8
972,NYC,CLE,5,1
973,PIT,DET,2,0
974,OAK,SDT,7,6
975,CHR,SFN,2,1
976,HOU,KCM,5,1
977,LAP,OKC,3,2
978,BOS,WAS,1,2
979,PHI,BKN,0,2
980,NYC,CLE,4,3
981,PIT,DET,1,3
982,OAK,SDT,4,1
983,CHR,SFN,5,1
984,HOU,KCM,0,3
985,LAP,OKC,0,4
986,BOS,WAS,2,4
987,PHI,BKN,1,7
988,NYC,CLE,6,1
989,PIT,DET,0,2
990,OAK,SDT,1,2
991,CHR,SFN,6,2
992,HOU,KCM,3,4
993,LAP,OKC,4,3
994,NYC,WAS,4,3
995,BKN,PIT,3,2
996,CLE,BOS,5,0
997,DET,PHI,2,1
998,HOU,CHR,1,7
999,LAP,SDT,5,1
1000,SFN,KCM,2,1
1001,OKC,OAK,0,3
1002,NYC,WAS,4,1
1003,BKN,PIT,4,2
1004,CLE,BOS,4,5
1005,DET,PHI,0,2
1006,HOU,CHR,5,0
1007,LAP,SDT,2,4
1008,SFN,KCM,1,7
1009,OKC,OAK,3,1
1010,NYC,WAS,1,2
1011,BKN,PIT,5,1
1012,CLE,BOS,7,1
1013,DET,PHI,3,8
1014,HOU,CHR,5,2
1015,LAP,SDT,1,7
1016,SFN,KCM,1,0
1017,OKC,OAK,7,1
1018,PIT,WAS,2,3
1019,BKN,NYC,1,2
1020,DET,BOS,4,1
1021,PHI,CLE,4,0
1022,SDT,CHR,1,5
1023,LAP,HOU,4,3
1024,OAK,SFN,4,1
1025,PIT,WAS,2,3
1026,BKN,NYC,4,0
1027,DET,BOS,2,4
1028,PHI,CLE,4,6
1029,SDT,CHR,2,3
1030,LAP,HOU,1,2
1031,OAK,SFN,4,0
1032,KCM,OKC,5,2
1033,PIT,WAS,0,2
1034,BKN,NYC,1,3
1035,DET,BOS,3,4
1036,PHI,CLE,2,1
1037,SDT,CHR,7,1
1038,LAP,HOU,3,4
1039,OAK,SFN,4,0
1040,KCM,OKC,0,3
1041,PIT,WAS,3,2
1042,BKN,NYC,1,6
1043,DET,BOS,4,6
1044,PHI,CLE,2,1
1045,SDT,CHR,1,4
1046,LAP,HOU,3,6
1047,OAK,SFN,5,3
1048,KCM,OKC,5,0
1049,WAS,SDT,0,5
1050,NYC,LAP,5,1
1051,BOS,OAK,5,3
1052,DET,CHR,4,3
1053,PHI,HOU,4,5
1054,WAS,SDT,1,3
1055,NYC,LAP,6,7
1056,PIT,SFN,4,1
1057,BKN,KCM,0,2
1058,BOS,OAK,2,5
1059,CLE,OKC,4,1
1060,DET,CHR,4,3
1061,PHI,HOU,3,2
1062,WAS,SDT,3,5
1063,NYC,LAP,2,3
1064,PIT,SFN,2,0
1065,BKN,KCM,4,2
1066,BOS,OAK,9,2
1067,CLE,OKC,2,4
1068,DET,CHR,0,3
1069,PHI,HOU,3,1
1070,PIT,SFN,1,2
1071,BKN,KCM,0,4
1072,CLE,OKC,2,4
1073,PIT,CHR,7,5
1074,BKN,HOU,2,4
1075,BOS,SDT,2,6
1076,CLE,LAP,1,4
1077,DET,SFN,2,1
1078,PHI,KCM,4,0
1079,WAS,OAK,4,2
1080,NYC,OKC,3,2
1081,PIT,CHR,2,3
1082,BKN,HOU,1,3
1083,BOS,SDT,2,1
1084,CLE,LAP,2,5
1085,DET,SFN,0,3
1086,PHI,KCM,4,2
1087,WAS,OAK,2,1
1088,NYC,OKC,0,3
1089,PIT,CHR,2,3
1090,BKN,HOU,2,3
1091,BOS,SDT,3,4
1092,CLE,LAP,4,3
1093,DET,SFN,6,5
1094,PHI,KCM,9,3
1095,WAS,OAK,5,2
1096,NYC,OKC,8,0
1097,OAK,NYC,0,3
1098,HOU,PIT,1,3
1099,LAP,BOS,5,3
1100,SDT,CLE,0,5
1101,SFN,PHI,4,0
1102,OKC,WAS,3,1
1103,OAK,NYC,2,0
1104,HOU,PIT,1,5
